Primer	Panthera_leo	Xiphias_gladius_mitochondrial	Strix_aluco_mitochondrion	Osphranter_rufus_mitochondrial	Chamaeleo_calyptratus_mitochondrion	Iguana_iguana_complete_mitochondrial	Crocodylus_niloticus_complete_mitochondrial	Psittacus_erithacus_mitochondrion	Cyprinus_carpio_mitochondrion	Loxodonta_africana_mitochondrial	Ambystoma_mexicanum_mitochondrion	Phoenicopterus_ruber_roseus_mitochondrion	Ursus_arctos_horribilis	Rana_catesbeiana_mitochondrion	Aquila_chrysaetos_mitochondrion	Salmo_salar_mitochondrion	Naja_naja_mitochondrion	Alligator_mississippiensis_mitochondrial_DNA	Megaptera_novaeangliae_mitochondrial	Carcharodon_carcharias	Rhinella_marina	Amphiprion_ocellaris_mitochondrial	Leptodactylus_fallax_mitochondrion	Aptenodytes_patagonicus_mitochondrion	Ambystoma_tigrinum_tigrinum_mitochondrion
334								6704.0	5696.0	5549.0				5747.0	9286.0			5534.0							
333								6704.0																	
2356																									
1464																									
2357																									
3159																									
2313																									
1184																									
1185																									
1088																									
1089																									
1260											5339.0														
1261																									
301																									
192																									
193													8432.0												
189																									
191																									
1350																									
2588																									
757																									
758																									
1443				6057.0			5980.0		6139.0	5992.0										6120.0					
3268																									
1823																									
1824																									
1009																									
1011																									
1014																									
1017																									
1018																									
2145			5408.0		5269.0	5354.0	5344.0	6511.0	5503.0	5356.0		5430.0			9093.0	5503.0		5341.0	5402.0	5484.0				5419.0	
2146																									
2078																									
1027	5939.0	5132.0		5111.0		4966.0		6138.0	5108.0	4965.0				5172.0		5106.0			5009.0	5092.0	5179.0	5248.0	6580.0		
3703																									
2220																									
3648																									
3679																									
3649																									
3680																									
3742											5333.0														5337.0
3747																									
3758																									
3787																									
3755																									
3791																									
3744											5333.0														
3749											5333.0														5337.0
3764											5333.0														
3756																									
3792																									
3770																									
3748																									
3743																									
3757																									
3769																									
3788																									
3750																									
3759																									
56																									
78	6578.0	5771.0					5582.0	6749.0	5741.0						9331.0	5741.0						5882.0	7202.0		
79																									
1787						5546.0																	7156.0		
1789																									
1786																									
1788																									
1790																									
2240																									
622	6293.0									5309.0									5355.0						
1631																									
1632																									
1633																									
1634																									
1635																									
1636																									
1637																									
1638																									
1639																									
1640				5916.0																					
2027											5332.0														
862																									
863																									
864													8429.0												
3572																									
3573																									
22																									
272																									
23																									
1967																									
24																									
1968																									
25																									
1177																									
1178																									
2277																									
2526																									
2524																									
2527																									
2525																									
2474																									
2475																									
772								6505.0							9087.0				5396.0						
773																									
3054																									
3055																									
1427																									
1428																									
3696																									
3697																									
2831																									
2833																									
2832																									
2834																									
2565																									
2564																									
2814																									
81																									
3404																									
3405																									
2269																									
373																									
2368	6462.0										5460.0										5685.0				
876																									
877																									
3043																									
878																									
879																									
880																									
1831																									
2291																									
875																						5689.0			
874																									
3476																									
3070																									
433																									
703																									
3571																									
