OP954302.1	Echinolaelaps echidninus	Echinolaelaps echidninus mitochondrion, complete genome
NC_011638.1	Rattus tanezumi	Rattus tanezumi mitochondrion, complete genome
OK054583.1	Rattus tanezumi	Rattus tanezumi mitochondrion, complete genome
MW815518.1	Hoplopleura pacifica	Hoplopleura pacifica minichromosome trnH-nad5-trnF mitochondrion, complete sequence
MW815517.1	Hoplopleura pacifica	Hoplopleura pacifica minichromosome trnC-nad6-trnW-trnL2(taa) mitochondrion, complete sequence
MW815516.1	Hoplopleura pacifica	Hoplopleura pacifica minichromosome trnK-nad4 mitochondrion, complete sequence
MW815515.1	Hoplopleura pacifica	Hoplopleura pacifica minichromosome nad2 mitochondrion, complete sequence
MW815514.1	Hoplopleura pacifica	Hoplopleura pacifica minichromosome trnQ-nad1-trnG-nad3 mitochondrion, complete sequence
MW815513.1	Hoplopleura pacifica	Hoplopleura pacifica minichromosome trnR-nad4L-trnP-cox3-trnA mitochondrion, complete sequence
MW815512.1	Hoplopleura pacifica	Hoplopleura pacifica minichromosome trnI-cox1 mitochondrion, complete sequence
MW815511.1	Hoplopleura pacifica	Hoplopleura pacifica minichromosome atp8-atp6-trnN mitochondrion, complete sequence
MW815510.1	Hoplopleura pacifica	Hoplopleura pacifica minichromosome rrnS mitochondrion, complete sequence
MW815509.1	Hoplopleura pacifica	Hoplopleura pacifica minichromosome trnM-trnL1(tag)-rrnL-trnV mitochondrion, complete sequence
MN126566.1	Rattus tanezumi	Rattus tanezumi voucher BOR260 mitochondrion, complete genome
KU200226.1	Rattus tanezumi	Rattus tanezumi mitochondrion, complete genome
EU273712.1	Rattus tanezumi	Rattus tanezumi isolate RJPNAna02 9Oct06 mitochondrion, complete genome
KF011916.1	Rattus tanezumi	Rattus tanezumi mitochondrion, complete genome
